Currency units per SDR for March 2017
Currency	March 01, 2017	March 02, 2017	March 03, 2017	March 06, 2017	March 07, 2017	March 08, 2017	March 09, 2017	March 10, 2017	March 13, 2017	March 14, 2017	March 15, 2017
Chinese yuan	9.276350	9.270160	9.294540	9.304750	9.301460	9.298170	9.309170	9.320450	9.333840	9.332710	9.327050
Euro	1.280220	1.281110	1.274440	1.273760	1.274710	1.275820	1.276220	1.270500	1.267480	1.268710	1.270570
Japanese yen	152.376000	153.553000	153.831000	153.535000	153.688000	153.086000	154.098000	155.231000	155.222000	154.906000	154.934000
U.K. pound	1.094970	1.096780	1.101390	1.100550	1.106160	1.108530	1.108080	1.109690	1.105540	1.112110	1.107000
U.S. dollar	1.348460	1.346950	1.346440	1.349170	1.348140	1.346760	1.346540	1.347490	1.351520	1.348770	1.349600
Algerian dinar	148.971000	148.946000	148.690000	148.739000	148.748000	148.622000	148.327000	148.478000	148.585000	NA	148.645000
Australian dollar	1.761310	1.759580	1.780540	1.781550	1.769210	1.774380	1.792040	1.791410	NA	NA	1.781880
Bahrain dinar	0.507022	0.506455	0.506262	0.507287	0.506899	0.506380	0.506301	0.506657	0.508171	NA	0.507449
Botswana pula	14.061100	14.060100	14.069400	14.024600	14.013900	14.058000	14.129500	14.154400	14.107700	NA	14.058300
Brazilian real	4.178470	4.171520	4.191750	4.230710	4.193380	4.199050	4.237700	4.275460	4.273100	NA	4.269180
Brunei dollar	1.897550	1.900550	1.903200	1.904750	1.901140	1.898790	1.911280	1.913580	1.906990	NA	1.908600
Canadian dollar	1.798580	1.803170	1.804910	1.808420	1.808790	1.814760	1.819580	1.814270	1.817390	NA	1.812240
Chilean peso	874.990000	NA	NA	884.470000	888.028000	888.889000	890.940000	895.865000	896.596000	NA	902.975000
Colombian peso	3,936.390000	NA	3,986.700000	4,017.050000	3,999.470000	4,003.150000	4,023.300000	4,048.450000	4,028.650000	NA	4,045.730000
Czech koruna	34.593500	34.610000	34.434000	34.411800	34.440800	34.518700	34.488900	34.336900	34.246100	NA	34.325700
Danish krone	9.516380	9.523270	9.473820	9.468710	9.476160	9.483890	9.487040	9.443760	9.422500	NA	9.445280
Hungarian forint	393.643000	394.361000	396.703000	394.023000	395.057000	395.529000	395.991000	396.002000	395.833000	NA	NA
Icelandic krona	143.611000	145.107000	144.393000	144.023000	145.895000	146.716000	146.719000	146.109000	150.032000	NA	148.024000
Indian rupee	90.142100	89.899800	89.990400	90.064900	89.832700	89.742400	89.909500	89.861800	NA	NA	88.418100
Indonesian rupiah	18,016.800000	17,996.600000	18,008.700000	18,030.200000	17,997.600000	17,965.700000	18,007.300000	18,047.000000	18,061.700000	NA	18,050.900000
Iranian rial	43,699.600000	NA	NA	43,725.000000	43,695.800000	43,656.500000	43,655.000000	NA	43,812.200000	NA	43,759.300000
Israeli New Shekel	4.897620	4.967560	4.972430	4.963570	4.957100	4.961450	4.966060	4.956090	NA	NA	4.936830
Kazakhstani tenge	423.134000	424.290000	427.442000	426.687000	424.879000	NA	426.598000	428.464000	429.878000	NA	430.548000
Korean won	NA	1,525.160000	1,537.640000	1,555.180000	1,558.580000	1,550.390000	1,543.950000	1,557.840000	1,565.330000	NA	1,548.390000
Kuwaiti dinar	0.411955	0.411763	0.411607	0.412103	0.411991	0.411568	0.411840	0.412132	0.412754	NA	0.412437
Libyan dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	NA	1.932400
Malaysian ringgit	5.997290	5.993950	5.999090	6.006470	6.001900	5.991720	6.004890	6.006470	6.009540	NA	6.007050
Mauritian rupee	47.967800	47.905800	47.906500	47.953100	47.842300	47.790200	47.815800	47.870700	47.963900	NA	47.844100
Mexican peso	26.835300	26.854600	26.410100	26.381300	26.317000	26.397400	26.658100	26.448500	26.463100	NA	26.248700
Nepalese rupee	144.016000	144.043000	143.800000	144.226000	143.927000	143.699000	143.730000	143.953000	144.031000	NA	142.895000
New Zealand dollar	1.884900	1.885960	1.907680	1.920520	1.929770	1.933880	1.949530	1.953460	1.953630	NA	1.948030
Norwegian krone	11.345100	11.380000	11.381100	11.422200	11.401500	11.420200	11.544400	11.613000	11.571800	NA	11.607100
Omani rial	0.518484	0.517904	0.517708	0.518753	0.518358	0.517829	0.517746	0.518111	0.519659	NA	0.518920
Pakistani rupee	141.377000	141.222000	141.169000	141.465000	141.357000	141.216000	141.190000	141.292000	141.718000	NA	141.504000
Peruvian sol	4.398680	4.405890	4.420380	4.436070	4.436710	4.432170	4.435510	NA	NA	NA	4.407790
Philippine peso	67.766700	67.739700	67.735500	67.961600	67.917700	67.767700	67.719000	67.882700	68.047600	NA	67.961600
Polish zloty	5.495770	5.490850	5.514350	5.486130	5.500790	5.497190	5.502520	5.492510	5.507030	NA	5.485580
Qatari riyal	4.908410	4.902920	4.901050	4.910960	4.907200	4.902200	4.901410	4.904870	4.919540	NA	4.912530
Russian ruble	78.719700	78.671400	79.319100	78.706100	78.546600	NA	79.219200	79.795100	79.918800	NA	79.778500
Saudi Arabian riyal	5.056740	5.051070	5.049150	5.059370	5.055510	5.050350	5.049540	5.053110	5.068190	NA	5.060980
Singapore dollar	1.897550	1.900550	1.903200	1.904750	1.901140	1.898790	1.911280	1.913580	1.906990	NA	1.908600
South African rand	17.606200	17.643600	17.664900	17.545400	17.466500	17.569800	17.843600	17.927100	17.727100	NA	17.624900
Sri Lankan rupee	203.955000	203.724000	203.650000	204.061000	203.888000	203.702000	203.799000	203.943000	204.553000	NA	204.261000
Swedish krona	12.217300	12.178200	12.219900	12.119000	12.136100	12.150000	12.186300	12.167700	12.132300	NA	12.103200
Swiss franc	1.362220	1.362580	1.362870	1.362120	1.367550	1.364000	1.365800	1.364470	1.362600	NA	1.361610
Thai baht	47.184100	47.136700	47.193000	47.263900	47.284500	47.375000	47.578700	47.664900	47.704700	NA	47.600200
Trinidadian dollar	9.072600	9.067420	9.061010	9.098600	9.089500	9.095290	9.094710	9.108380	9.110210	NA	9.090990
Tunisian dinar	3.100010	3.106880	3.114970	3.117200	3.101700	3.108370	3.110630	3.115900	3.103080	NA	3.095070
U.A.E. dirham	4.952240	4.946700	4.944820	4.954810	4.951030	4.945970	4.945180	4.948680	4.963440	NA	4.956380
Uruguayan peso	38.400100	38.140300	38.065400	38.080200	38.129400	38.320600	38.381800	NA	38.326400	NA	38.274600
Bolivar Soberano	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA

Currency units per SDR for March 2017 Continued

Currency	March 16, 2017	March 17, 2017	March 20, 2017	March 21, 2017	March 22, 2017	March 23, 2017	March 24, 2017	March 27, 2017	March 28, 2017	March 29, 2017	March 30, 2017	March 31, 2017
Chinese yuan	9.348070	9.371980	9.374880	9.391440	9.376470	9.382890	9.396910	9.399110	9.403620	9.383150	9.373650	9.350080
Euro	1.264280	1.263680	1.262730	1.260350	1.260060	1.262960	1.261560	1.255490	1.257840	1.267090	1.266570	1.269150
Japanese yen	153.778000	153.931000	NA	153.433000	151.849000	151.862000	151.769000	150.914000	151.027000	151.467000	151.427000	152.035000
U.K. pound	1.102940	1.097790	1.096330	1.092470	1.093860	1.089790	1.090750	1.086080	1.087880	1.095500	1.091910	1.089620
U.S. dollar	1.356070	1.356820	1.357690	1.361430	1.361750	1.362230	1.363110	1.367100	1.365890	1.361870	1.359920	1.356850
Algerian dinar	148.618000	148.662000	148.679000	148.832000	148.952000	149.037000	149.009000	149.240000	149.396000	149.543000	149.303000	149.337000
Australian dollar	1.766170	1.764620	1.757760	1.766250	1.775890	1.777910	1.789330	1.791040	1.793680	1.781610	1.774650	1.775050
Bahrain dinar	0.509882	0.510162	0.510491	0.511896	0.512017	0.512201	0.512531	0.514030	0.513574	0.512062	0.511328	0.510175
Botswana pula	13.908400	13.944700	13.925000	13.892100	13.881300	13.843800	13.838700	13.921600	14.081400	14.083400	14.034200	14.222700
Brazilian real	4.288290	4.216170	4.218220	4.205730	4.188600	4.213790	4.258640	4.275750	4.268420	4.262230	4.246070	4.238920
Brunei dollar	1.906360	1.904160	1.898730	1.904230	1.908220	1.906440	1.909580	1.906430	1.904050	1.903070	1.897900	1.896600
Canadian dollar	1.806150	1.809590	1.813600	1.813020	1.819300	1.816670	1.823030	1.828230	1.826740	1.820000	1.809230	1.805960
Chilean peso	907.919000	897.127000	897.634000	901.746000	895.800000	902.943000	902.951000	904.527000	906.594000	907.054000	902.454000	899.127000
Colombian peso	4,031.060000	3,967.280000	NA	3,965.200000	3,955.710000	4,000.620000	3,981.990000	3,964.510000	3,979.500000	NA	3,927.470000	3,908.050000
Czech koruna	34.166200	34.129300	34.117400	34.048000	34.047900	34.123900	34.088700	33.921900	33.987500	34.237300	34.214100	34.303800
Danish krone	9.399030	9.394610	9.387910	9.371110	9.371280	9.390990	9.383240	9.341430	9.359090	9.428630	9.421520	9.439840
Hungarian forint	392.460000	389.800000	389.766000	389.328000	389.610000	390.743000	390.369000	390.130000	389.238000	391.183000	392.784000	391.641000
Icelandic krona	149.127000	147.350000	147.092000	149.008000	150.800000	151.589000	150.433000	150.081000	149.961000	151.399000	153.004000	153.460000
Indian rupee	88.664300	88.927600	88.769700	88.917300	89.178200	89.120200	89.226800	88.983800	NA	88.460300	88.302600	87.976300
Indonesian rupiah	18,084.500000	18,102.700000	18,096.700000	18,117.900000	18,158.900000	18,161.300000	18,168.900000	18,201.600000	NA	18,144.100000	18,108.600000	18,074.600000
Iranian rial	43,966.500000	NA	44,016.400000	NA	NA	NA	NA	44,316.000000	44,275.400000	44,148.900000	44,091.100000	NA
Israeli New Shekel	4.923880	4.925230	4.913470	4.920220	4.978570	4.965340	4.969910	4.946190	4.939050	4.936760	4.916080	4.928070
Kazakhstani tenge	430.728000	427.466000	428.420000	NA	NA	NA	431.507000	431.226000	430.022000	429.192000	428.088000	425.684000
Korean won	1,554.460000	1,535.510000	1,536.090000	1,530.930000	1,521.760000	1,530.880000	1,526.690000	1,534.850000	1,521.880000	1,515.080000	1,514.940000	1,514.380000
Kuwaiti dinar	0.413736	0.413966	0.413960	0.415100	0.414790	0.414936	0.415205	0.416010	0.415640	0.414755	0.414434	0.413500
Libyan dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian ringgit	6.018220	6.026960	6.017970	6.029760	6.033910	6.036060	6.038570	6.035080	6.033840	6.022170	6.014240	6.006080
Mauritian rupee	48.096600	48.029400	48.031700	48.115100	48.092200	48.093600	48.180700	48.308900	48.253700	NA	48.007200	47.897500
Mexican peso	25.999900	25.938300	NA	26.012800	25.987300	25.865700	25.698500	25.791900	25.795300	25.615600	25.441100	25.502700
Nepalese rupee	142.441000	142.086000	142.204000	142.460000	142.249000	142.776000	142.786000	143.081000	142.217000	141.716000	141.227000	140.949000
New Zealand dollar	1.929250	1.941360	1.931560	1.929740	1.935680	1.938020	1.939540	1.939430	1.938530	1.944130	1.934720	1.940850
Norwegian krone	11.579300	11.502400	11.526000	11.501100	11.524900	11.553400	11.580200	11.574200	11.619900	11.645600	11.613800	11.635900
Omani rial	0.521409	0.521697	0.522032	0.523470	0.523593	0.523780	0.524117	0.525652	0.525185	0.523637	0.522887	0.521708
Pakistani rupee	142.193000	142.267000	142.360000	142.760000	142.792000	NA	142.934000	143.358000	143.229000	142.805000	142.599000	142.272000
Peruvian sol	4.403150	4.405580	4.408410	4.415110	4.424330	4.419090	4.417840	4.437620	4.428230	4.412440	4.406120	4.404340
Philippine peso	68.234700	68.099900	68.093500	68.268700	68.310700	68.521800	68.617700	68.833500	68.536300	68.338200	68.296200	68.105500
Polish zloty	5.464960	5.416000	5.406460	5.377910	5.410380	5.406280	5.381700	5.367110	5.350050	5.347360	5.358340	5.353430
Qatari riyal	4.936080	4.938810	4.941980	4.955600	4.956780	4.958520	4.961720	4.976260	4.971830	4.957190	4.950100	4.938930
Russian ruble	78.982700	78.606500	77.775000	77.918000	78.485500	78.359500	78.276000	77.956900	77.769000	77.659000	76.668900	75.930100
Saudi Arabian riyal	5.085250	5.088070	5.091340	5.105350	5.106570	5.108370	5.111660	5.126630	5.122080	5.106990	5.099670	5.088180
Singapore dollar	1.906360	1.904160	1.898730	1.904230	1.908220	1.906440	1.909580	1.906430	1.904050	1.903070	1.897900	1.896600
South African rand	17.286400	17.321200	17.250300	NA	17.301900	17.045700	17.014600	17.247500	17.757000	17.729600	17.520900	18.010200
Sri Lankan rupee	205.237000	205.297000	205.437000	206.112000	206.452000	206.514000	206.648000	207.253000	207.198000	206.587000	206.299000	205.882000
Swedish krona	12.029300	11.955200	11.971400	11.965200	12.004000	11.988500	12.029600	11.980900	11.999100	12.065600	12.081400	12.121300
Swiss franc	1.352950	1.352880	1.354570	1.355300	1.352490	1.352290	1.351800	1.346730	1.346630	1.353690	1.354070	1.358200
Thai baht	47.554500	47.434300	47.122700	47.301500	47.267700	47.201400	47.264600	47.108900	47.009900	47.003500	46.903400	46.743400
Trinidadian dollar	9.139770	9.143190	9.171370	9.195660	9.227390	9.234720	9.241460	9.226280	9.163050	9.173220	9.162460	NA
Tunisian dinar	3.124500	3.108690	NA	NA	3.114290	3.110070	3.127930	3.153360	3.137450	3.138550	3.132020	3.139070
